Format Version,1.1,Take Name,Take 2026-06-19 04.10.03 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-06-19 04.10.03.102 PM,Total Frames,36281,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000,Marker-10001,Marker-10001,Marker-10001,Marker-10002,Marker-10002,Marker-10002
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702711","8392B20CF49E35702711","8392B20CF49E35702711","8392B20CF49E35702712","8392B20CF49E35702712","8392B20CF49E35702712"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
96,0.800000,-1.511711,1.387401,0.946107,-1.531881,1.390912,0.921899,-1.555262,1.395087,0.942369
97,0.808333,-1.511633,1.387362,0.946605,-1.531783,1.390956,0.922371,-1.555104,1.395051,0.942878
98,0.816667,-1.511377,1.387267,0.947051,-1.531548,1.390982,0.922881,-1.554870,1.395029,0.943389
99,0.825000,-1.511070,1.387175,0.947595,-1.531196,1.391000,0.923365,-1.554517,1.395037,0.943910
100,0.833333,-1.510689,1.387055,0.948187,-1.530861,1.391066,0.923986,-1.554165,1.394982,0.944444
101,0.841667,-1.510326,1.387004,0.948768,-1.530452,1.391047,0.924567,-1.553695,1.394971,0.945159
102,0.850000,-1.509900,1.386886,0.949368,-1.530144,1.391087,0.925209,-1.553284,1.394957,0.945846
103,0.858333,-1.509599,1.386835,0.950058,-1.529894,1.391128,0.925834,-1.552921,1.394914,0.946529
104,0.866667,-1.509473,1.386772,0.950780,-1.529688,1.391168,0.926561,-1.552763,1.394896,0.947236
105,0.875000,-1.509378,1.386723,0.951453,-1.529631,1.391229,0.927231,-1.552652,1.394871,0.947968
106,0.883333,-1.509356,1.386691,0.952052,-1.529555,1.391267,0.927837,-1.552625,1.394872,0.948628
107,0.891667,-1.509317,1.386636,0.952583,-1.529529,1.391315,0.928409,-1.552594,1.394841,0.949240
108,0.900000,-1.509232,1.386571,0.953085,-1.529438,1.391330,0.928914,-1.552561,1.394819,0.949805
109,0.908333,-1.509162,1.386537,0.953494,-1.529389,1.391381,0.929343,-1.552514,1.394810,0.950224
110,0.916667,-1.509064,1.386514,0.953913,-1.529248,1.391380,0.929708,-1.552402,1.394809,0.950583
111,0.925000,-1.508841,1.386430,0.954227,-1.529026,1.391378,0.929999,-1.552174,1.394817,0.950875
112,0.933333,-1.508547,1.386340,0.954378,-1.528647,1.391385,0.930241,-1.551778,1.394830,0.951062
113,0.941667,-1.508035,1.386182,0.954511,-1.528034,1.391319,0.930439,-1.551231,1.394845,0.951192
114,0.950000,-1.507265,1.386006,0.954789,-1.527284,1.391285,0.930641,-1.550509,1.394883,0.951336
115,0.958333,-1.506383,1.385775,0.955055,-1.526333,1.391148,0.930901,-1.549590,1.394914,0.951560
116,0.966667,-1.505357,1.385527,0.955384,-1.525293,1.391066,0.931262,-1.548548,1.394895,0.951911
117,0.975000,-1.504289,1.385237,0.955766,-1.524239,1.391051,0.931722,-1.547405,1.394908,0.952367
118,0.983333,-1.503238,1.385036,0.956329,-1.523104,1.390934,0.932213,-1.546218,1.394914,0.952922
119,0.991667,-1.502134,1.384734,0.956909,-1.521903,1.390808,0.932813,-1.545021,1.394896,0.953523
120,1.000000,-1.501012,1.384403,0.957665,-1.520708,1.390692,0.933593,-1.543790,1.394896,0.954253
121,1.008333,-1.499843,1.384090,0.958528,-1.519517,1.390622,0.934467,-1.542561,1.394881,0.955078
122,1.016667,-1.498652,1.383756,0.959510,-1.518250,1.390505,0.935428,-1.541274,1.394817,0.956076
123,1.025000,-1.497391,1.383359,0.960509,-1.516958,1.390386,0.936547,-1.539962,1.394739,0.957231
124,1.033333,-1.496057,1.382948,0.961833,-1.515585,1.390258,0.937897,-1.538586,1.394659,0.958533
125,1.041667,-1.494669,1.382505,0.963277,-1.514108,1.390100,0.939434,-1.537102,1.394492,0.960105
126,1.050000,-1.493246,1.382007,0.965027,-1.512606,1.389979,0.941195,-1.535547,1.394313,0.961894
127,1.058333,-1.491788,1.381435,0.966786,-1.511151,1.389762,0.943005,-1.533969,1.394114,0.963872
128,1.066667,-1.490451,1.380924,0.968691,-1.509786,1.389584,0.944915,-1.532566,1.393837,0.965896
129,1.075000,-1.489256,1.380405,0.970579,-1.508522,1.389425,0.946853,-1.531311,1.393588,0.967900
130,1.083333,-1.488125,1.379885,0.972521,-1.507326,1.389210,0.948863,-1.530124,1.393321,0.969930
131,1.091667,-1.487055,1.379336,0.974498,-1.506181,1.389005,0.950900,-1.528975,1.393059,0.971995
132,1.100000,-1.486035,1.378785,0.976464,-1.505083,1.388770,0.952920,-1.527879,1.392747,0.974087
133,1.108333,-1.484928,1.378166,0.978437,-1.503946,1.388513,0.954972,-1.526778,1.392441,0.976141
134,1.116667,-1.483701,1.377585,0.980596,-1.502744,1.388191,0.957066,-1.525573,1.392052,0.978252
135,1.125000,-1.482701,1.376819,0.982380,-1.501527,1.387892,0.959074,-1.524328,1.391683,0.980324
136,1.133333,-1.481584,1.376198,0.984180,-1.500196,1.387604,0.961158,-1.523074,1.391269,0.982214
137,1.141667,-1.480496,1.375613,0.985956,-1.499169,1.387283,0.962786,-1.521916,1.390890,0.984043
138,1.150000,-1.479557,1.375069,0.987498,-1.498138,1.386934,0.964463,-1.520912,1.390548,0.985760
139,1.158333,-1.478852,1.374590,0.989032,-1.497391,1.386717,0.966092,-1.520162,1.390191,0.987378
140,1.166667,-1.478425,1.374167,0.990445,-1.496995,1.386483,0.967600,-1.519733,1.389864,0.988935
